A. K. SMILEY PUBLIC LIBRARY,"70,000 - 99,999",San Bernardino,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,Mr.,Don,E.,McCue,Director,125 W. VINE ST.,REDLANDS,92373,4728,(909) 798-7565,(909) 798-7565,http://www.akspl.org,37.00,"2,769","204,131",Annual Count,35.00,2.29,2.29,21.17,23.46,186,"6,791.00","$3,152,944","$91,693",$0,"$887,714","$4,132,351",$0,"$400,532",$0,$0,"$400,532","$1,741,767","$1,016,356","$2,758,123","$117,603","$25,017","$142,620","$91,989","$13,745","$248,354","$1,546,494","$4,552,971","$15,099","30,313","4,120","113,380","6,900","2,797",Yes,12,No,0,58,"123,147",222,"31,666","14,583","31,889",21,23,44,"207,983","119,174",143,0,22,12,0,0,"30,717","16,221","39,964","56,185","238,700","86,902","294,885","29,404",Annual Count,Yes,$0.20,$0.20,$0.20,556,"14,633",238,"6,595",221,221,0,"3,498","3,498",0,17,17,0,"3,097","3,097",0,26,26,0,330,330,0,102,66,36,"1,480","1,107",373,190,190,0,"6,228","6,228",0,90,"1,358",0,0,3,240,Take and Make Crafts (80 each month for 3 months),No,"8,388",Annual Count,"365,007","22,605",Annual Estimate Based on Typical Week(s),24,Horizon (SirsiDynix)
ALAMEDA COUNTY LIBRARY,"500,000+",Alameda,County Library with Dedicated Tax,"County or Equivalent, remainder excluding AEs of contained geographies",Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,Ms.,Cynthia,L,Chadwick,County Librarian,2450 STEVENSON BLVD.,FREMONT,94538,2326,(510) 745-1504,(510) 745-1400,http://www.aclibrary.org,572.00,"20,581","1,110,616",Annual Count,232.00,21.00,72.50,170.36,242.86,"2,156","13,929.00","$37,578,020","$69,004","$6,888","$4,843,075","$42,496,987",$0,$0,$0,$0,$0,"$15,983,132","$8,563,788","$24,546,920","$2,071,808","$71,785","$2,143,593","$1,651,622","$210,512","$4,005,727","$10,286,163","$38,838,810",$0,"495,113","46,912","867,554","30,384","94,224",Yes,0,Yes,36,516,"992,714",842,"399,627","66,830","9,061",135,21,156,"4,543,655","3,260,780","125,671","14,932","43,109",0,49,"1,439","1,042,709","136,820","598,834","735,654","5,586,364","1,778,363","6,322,018","142,917",Annual Estimate Based on Typical Week(s),No,,,,"2,586","70,472","1,114","38,696",240,228,12,"9,715","9,586",129,874,727,147,"28,981","25,578","3,403",301,280,21,"4,043","3,866",177,557,390,167,"7,180","5,498","1,682",614,585,29,"20,553","20,165",388,33,"2,899",9,"1,594",177,"66,695",,No,"84,343",Annual Count,"1,427,617","260,117",Annual Count,214,Sierra (Innovative)
ALAMEDA FREE LIBRARY,"70,000 - 99,999",Alameda,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,Mr.,Marlon,,Romero,Acting Library Director,1550 OAK ST,ALAMEDA,94501,4411,(510) 747-7720,(510) 747-7713,http://www.alamedafree.org,12.00,"6,136","185,102",Annual Count,58.00,13.38,13.38,20.11,33.49,10,75.00,"$5,927,553","$30,994","$137,485",$0,"$6,096,032",$0,$0,$0,$0,$0,"$2,476,270","$927,303","$3,403,573","$263,200","$20,100","$283,300","$141,300",$0,"$424,600","$1,495,164","$5,323,337",$0,"61,323","7,751","177,069","7,323","8,877",No,0,Yes,60,64,"193,393",,0,"13,750",0,56,21,77,"549,604","284,828","9,076","3,546","5,774",0,341,-1,"68,806","18,838",-1,"18,838","618,410","87,644","637,248","43,027",Annual Count,No,$0.00,$0.00,$0.00,"3,535","32,783","3,210","27,101",457,217,240,"11,797","10,481","1,316","2,753",93,"2,660","15,304","2,782","12,522",61,61,0,680,680,0,192,149,43,"2,300","1,889",411,72,72,0,"2,702","2,702",0,28,"1,065",-1,-1,3,398,peeps diorama papel take and make,No,"19,739",Annual Count,"248,776","4,222",Annual Count,53,Polaris (Innovative)
ALHAMBRA CIVIC CENTER LIBRARY,"70,000 - 99,999",Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,Ms.,Hilda,H,LohGuan,Library Director,101 S. FIRST ST.,ALHAMBRA,91801,3488,(626) 570-5008,(626) 570-3212,http://alhambralibrary.org,8.00,"3,141","171,337",Annual Count,40.00,12.28,12.28,15.45,27.73,65,"2,318.00","$3,003,954","$9,740","$420,617","$20,000","$3,454,311","$433,999","$225,000","$398,871",$0,"$1,057,870","$1,708,617","$768,333","$2,476,950","$131,037","$6,853","$137,890","$83,692",$0,"$221,582","$685,055","$3,383,587","$784,216","47,274","6,549","98,819","2,709","2,000",Yes,10,Yes,27,172,"103,737",54,"9,047","55,467","3,719",19,24,43,"264,968","190,903","19,905",0,0,17,142,554,"30,020","20,224","73,185","93,409","294,988","123,429","388,397","75,182",Annual Count,Yes,$0.25,$0.25,$0.15,478,"16,998",273,"13,040",155,155,0,"6,561","6,561",0,118,118,0,"6,479","6,479",0,2,2,0,101,101,0,177,140,37,"2,159","1,933",226,26,26,0,"1,698","1,698",0,26,"1,698",0,0,0,0,0,Yes,"31,779",Annual Count,-1,"85,158",Annual Estimate Based on Typical Week(s),42,Apollo (Biblionix)
ALPINE COUNTY LIBRARY/ARCHIVES,"0-24,999",Alpine,County Library General Fund,"County or Equivalent, entirety",Member of a Federation or Cooperative,County/Parish,NorthNet Library System,Ms.,Rita,Lynn,Lovell,Library Museum & Archives Director,270 LARAMIE ST.,MARKLEEVILLE,96120,0187,15306942120,(530) 694-2120,http://www.alpinecountyca.gov/Index.aspx?NID=107,723.00,"2,414","15,839",Annual Estimate Based on Typical Week(s),6.00,1.00,1.00,1.43,2.43,4,362.00,"$379,639","$31,589",$0,"$8,300","$419,528",$0,$0,$0,$0,$0,"$156,130","$132,399","$288,529","$5,400","$1,840","$7,240","$6,175",$0,"$13,415","$69,427","$371,371","$12,000","5,362",515,"13,323","1,145","2,431",Yes,26,No,0,145,"17,070",40,"255,708","627,024","24,885",0,23,23,"3,583","1,112",0,0,0,10,0,467,"1,320","3,264",0,"3,264","4,903","4,584","8,167",204,Annual Count,No,$0.00,$0.00,$0.00,118,"1,548",34,138,20,20,0,45,45,0,14,14,0,93,93,0,0,0,0,0,0,0,24,24,0,250,250,0,60,54,6,"1,160",875,285,2,18,4,321,3,35,"Coloring station, checker board (set up); add your comments (to local interest board)",Yes,325,Annual Count,-1,"7,967",Annual Count,5,Library Solution (TLC)
ALTADENA LIBRARY DISTRICT,"25,000 - 49,999",Los Angeles,Special District Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,Library District,Southern California Library Cooperative,Ms.,Nikki,,Winslow,District Director,600 E. MARIPOSA ST.,ALTADENA,91001,2211,(626) 798-0833,(626) 798-0833,http://www.altadenalibrary.org,9.00,"4,456","123,628",Annual Count,34.00,11.00,11.00,18.00,29.00,107,"4,222.00","$4,289,922","$46,900",$0,"$340,108","$4,676,930","$1,258,609","$66,562",$0,"$325,684","$1,650,855","$2,027,703","$697,760","$2,725,463","$131,568","$10,037","$141,605","$83,387","$47,241","$272,233","$988,890","$3,986,586","$972,703","26,320","4,872","60,181","5,822","6,060",Yes,48,Yes,37,612,"72,760",94,"1,152,350","564,346","27,430",9,24,33,"206,856","118,031","4,373",438,220,564,"1,452","4,970","50,170","8,735","5,368","14,103","257,026","64,273","271,129","6,479",Annual Count,No,$0.00,$0.00,$0.00,602,"16,561",223,"6,453",113,113,0,"3,013","3,013",0,110,109,1,"3,440","3,302",138,69,69,0,805,805,0,197,175,22,"4,977","4,729",248,113,112,1,"4,326","3,579",747,71,"1,507",4,126,16,"2,316","7 Art Exhibits; Themed Trivia, Scavenger Hunt, Passive Reading Programs, Craft kits, Community art to display, Bingo Challenges",Yes,"8,666",Annual Count,"483,470","106,565",Annual Count,43,Koha (Equinox)
AMADOR COUNTY LIBRARY,"25,000 - 49,999",Amador,County Library General Fund,"County or Equivalent, entirety",Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,Ms.,Kathryn,,Olson,County Librarian,530 SUTTER ST.,JACKSON,95642,2379,(209) 223-6400,(209) 223-6400,http://www.amadorgov.org/departments/library,594.00,"4,760","37,149",Annual Count,9.00,1.00,1.00,6.50,7.50,17,825.00,"$910,371","$48,620",$0,"$17,756","$976,747",$0,$0,$0,$0,$0,"$395,866","$211,973","$607,839","$31,500","$1,200","$32,700","$25,886","$3,000","$61,586","$165,535","$834,960",$0,"20,235","2,146","71,115","2,995","4,664",Yes,10,No,0,0,"78,784",,"909,223","8,545",378,16,22,38,"38,322","14,905",10,"2,533","5,889",4,0,0,"15,976","13,337",-1,"13,337","54,298","29,313","67,635","1,795",Annual Count,Yes,$0.10,$0.10,$0.10,107,"2,440",72,"2,050",60,60,0,"2,000","2,000",0,12,12,0,50,50,0,0,0,0,0,0,0,20,20,0,240,240,0,15,15,0,150,150,0,8,80,0,0,60,"1,000","puzzles, word hunts, Frist 5 kits and take home crafts ",Yes,"5,359",Annual Count,"28,672",-1,,22,Symphony (SirsiDynix)
ANAHEIM PUBLIC LIBRARY,"150,000 - 499,999",Orange,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,Ms.,Audrey,A.,Lujan,City Librarian,500 W. BROADWAY,ANAHEIM,92805,3699,(714) 765-1810,(714) 765-1880,http://anaheim.net/library,49.00,"12,159","491,044",Annual Count,168.00,26.35,26.35,55.59,81.93,455,"13,992.50","$13,671,086","$432,166","$209,515","$199,168","$14,511,935","$23,245","$78,572","$25,000",$0,"$126,817","$5,051,665","$3,528,263","$8,579,928","$419,616","$8,117","$427,733","$197,616","$7,461","$632,810","$3,968,086","$13,180,824","$11,478","246,137","37,937","500,763","6,265","35,773",Yes,9,Yes,9,640,"543,459",150,"195,453","4,612",0,9,24,33,"804,697","424,832","48,661",0,0,26,26,"1,603","210,972","66,151","14,349","80,500","1,015,669","291,472","1,096,169","155,308",Annual Count,Yes,$0.20,$0.20,$0.20,"3,971","129,493","3,274","102,147",473,473,0,"16,778","16,778",0,"2,801","2,797",4,"85,369","85,333",36,182,182,0,"4,692","4,692",0,346,343,3,"3,884","3,856",28,169,169,0,"18,770","18,770",0,460,"39,397",31,"3,005",26,"2,833",Craft Kits & virtual challenges,Yes,"44,413",Annual Count,"197,590",-1,,168,Other (please list)
ARCADIA PUBLIC LIBRARY,"50,000 - 69,999",Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,Ms.,Darlene,,Bradley,Director of Library and Museum Services,20 W. DUARTE ROAD,ARCADIA,91006,6999,(626) 821-5567,(626) 821-5569,http://www.arcadiaca.gov/library,12.00,"3,120","296,254",Annual Count,40.00,11.50,11.50,19.50,31.00,196,"6,106.00","$4,274,659","$114,500","$10,907","$297,419","$4,697,485","$166,667",$0,$0,$0,"$166,667","$2,175,211","$815,248","$2,990,459","$163,304","$12,475","$175,779","$141,199","$44,167","$361,145","$662,900","$4,014,504",$0,"42,046","4,094","177,674","4,959","6,772",Yes,4,No,0,392,"189,801",119,"29,779","7,234",118,32,23,55,"471,385","210,773","15,971",305,,151,0,"18,303","48,492","8,030","42,472","50,502","519,877","98,994","570,379","60,570",Annual Count,Yes,$0.25,$0.25,$0.25,240,"6,934",158,"4,515",94,94,0,"3,207","3,207",0,64,64,0,"1,308","1,308",0,34,32,2,878,840,38,40,40,0,600,600,0,8,8,0,941,941,0,0,0,3,"1,278",13,"2,243","Boba Crawl, Gratitude Tree, Winter Reading Challenge, Blind date with a book, Manga Madness, Craftable. Winter Activity kits, Black History Month kits, Optical Illusion kits, Asian Pacific Islander Heritage Month kits.",Yes,"11,691",Annual Count,"88,108","38,295",Annual Count,47,Other (please list)
AZUSA CITY LIBRARY,"25,000 - 49,999",Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,Ms.,Leila ,,Hassan,Library Services Manager,729 N. DALTON AVE.,AZUSA,91702,2550,(626) 812-5232,(626) 812-5268,http://www.azusaca.gov/library,9.00,"2,220","87,246",Annual Count,26.00,2.00,2.00,17.18,19.18,27,"1,171.00","$1,432,280","$73,100",$0,"$40,000","$1,545,380","$2,000,000",$0,$0,$0,"$2,000,000","$1,020,195","$315,065","$1,335,260","$51,500","$1,000","$52,500","$12,000","$5,000","$69,500","$100,530","$1,505,290",$0,"35,446","3,710","93,919",831,"1,654",Yes,10,Yes,8,58,"96,480",12,"881,586","600,759","70,584",5,24,29,"11,465","7,809",479,0,0,0,57,-1,-1,"1,559",-1,"1,559",,"1,559","13,024","5,100",Annual Estimate Based on Typical Week(s),No,$0.00,$0.00,$0.00,357,"4,024",133,"2,375",96,96,0,"1,013","1,013",0,37,37,0,"1,362","1,362",0,12,12,0,59,59,0,194,194,0,943,943,0,18,18,0,647,647,0,61,-1,0,0,26,"1,541","Self-directed activities include monthly scavenger hunts for youths ages 5-12, passive young adult and adult activities and book displays such as ""Blind Date with a Book,"" ""Gaming Display"" trivia, and submitting monthly book reviews for opportunity drawings. ",Yes,"6,000",Annual Estimate Based on Typical Week(s),-1,-1,,19,Symphony (SirsiDynix)
